gait_cycle,time,Z_rot,X_rot,Y_rot,Z
0,0,-15.68467625,2.918961578,-8.489522423,0.002550375
1,0.0075,-15.65420205,3.047676581,-8.509227736,0.00059411
2,0.015,-15.56289972,3.167531051,-8.56803291,-0.001965996
3,0.0225,-15.41112957,3.278051978,-8.665010553,-0.005089568
4,0.03,-15.19949059,3.378803185,-8.798631269,-0.008727346
5,0.0375,-14.92881802,3.469387054,-8.96678778,-0.012821961
6,0.045,-14.60018007,3.549446092,-9.166828157,-0.017308836
7,0.0525,-14.21487373,3.618664342,-9.395597644,-0.022117213
8,0.06,-13.77441962,3.676768631,-9.649488409,-0.027171259
9,0.0675,-13.28055602,3.723529649,-9.924496444,-0.032391269
10,0.075,-12.73523199,3.758762851,-10.21628471,-0.037694922
11,0.0825,-12.14059966,3.782329188,-10.52025152,-0.042998574
12,0.09,-11.49900578,3.794135654,-10.83160315,-0.048218585
13,0.0975,-10.81298243,3.794135654,-11.1454294,-0.053272631
14,0.105,-10.08523703,3.782329188,-11.45678103,-0.058081007
15,0.1125,-9.318641647,3.758762851,-11.76074785,-0.062567883
16,0.12,-8.516221697,3.723529649,-12.05253611,-0.066662497
17,0.1275,-7.68114396,3.676768631,-12.32754414,-0.070300275
18,0.135,-6.816704106,3.618664342,-12.58143491,-0.073423847
19,0.1425,-5.926313685,3.549446092,-12.8102044,-0.075983953
20,0.15,-5.013486661,3.469387054,-13.01024477,-0.077940218
21,0.1575,-4.081825544,3.378803185,-13.17840128,-0.079261791
22,0.165,-3.135007176,3.278051978,-13.312022,-0.079927829
23,0.1725,-2.176768217,3.167531051,-13.40899964,-0.079927829
24,0.18,-1.210890397,3.047676581,-13.46780482,-0.079261791
25,0.1875,-0.241185595,2.918961578,-13.48751013,-0.077940218
26,0.195,0.728519206,2.781894022,-13.46780482,-0.075983953
27,0.2025,1.694397026,2.637014856,-13.40899964,-0.073423847
28,0.21,2.652635985,2.484895851,-13.312022,-0.070300275
29,0.2175,3.599454353,2.326137352,-13.17840128,-0.066662497
30,0.225,4.53111547,2.161365905,-13.01024477,-0.062567883
31,0.2325,5.443942494,1.99123179,-12.8102044,-0.058081007
32,0.24,6.334332915,1.816406446,-12.58143491,-0.053272631
33,0.2475,7.198772769,1.637579831,-12.32754414,-0.048218585
34,0.255,8.033850506,1.455457691,-12.05253611,-0.042998574
35,0.2625,8.836270456,1.270758778,-11.76074785,-0.037694922
36,0.27,9.602865834,1.084212015,-11.45678103,-0.032391269
37,0.2775,10.33061124,0.896553618,-11.1454294,-0.027171259
38,0.285,11.01663459,0.708524187,-10.83160315,-0.022117213
39,0.2925,11.65822847,0.520865789,-10.52025152,-0.017308836
40,0.3,12.2528608,0.334319027,-10.21628471,-0.012821961
41,0.3075,12.79818483,0.149620114,-9.924496444,-0.008727346
42,0.315,13.29204843,-0.032502026,-9.649488409,-0.005089568
43,0.3225,13.73250253,-0.211328642,-9.395597644,-0.001965996
44,0.33,14.11780888,-0.386153985,-9.166828157,0.00059411
45,0.3375,14.44644683,-0.556288101,-8.96678778,0.002550375
46,0.345,14.7171194,-0.721059547,-8.798631269,0.003871947
47,0.3525,14.92875838,-0.879818046,-8.665010553,0.004537986
48,0.36,15.08052852,-1.031937051,-8.56803291,0.004537986
49,0.3675,15.17183086,-1.176816218,-8.509227736,0.003871947
50,0.375,15.20230506,-1.313883774,-8.489522423,0.002550375
51,0.3825,15.17183086,-1.442598777,-8.509227736,0.00059411
52,0.39,15.08052852,-1.562453247,-8.56803291,-0.001965996
53,0.3975,14.92875838,-1.672974173,-8.665010553,-0.005089568
54,0.405,14.7171194,-1.77372538,-8.798631269,-0.008727346
55,0.4125,14.44644683,-1.864309249,-8.96678778,-0.012821961
56,0.42,14.11780888,-1.944368287,-9.166828157,-0.017308836
57,0.4275,13.73250253,-2.013586537,-9.395597644,-0.022117213
58,0.435,13.29204843,-2.071690827,-9.649488409,-0.027171259
59,0.4425,12.79818483,-2.118451845,-9.924496444,-0.032391269
60,0.45,12.2528608,-2.153685047,-10.21628471,-0.037694922
61,0.4575,11.65822847,-2.177251383,-10.52025152,-0.042998574
62,0.465,11.01663459,-2.189057849,-10.83160315,-0.048218585
63,0.4725,10.33061124,-2.189057849,-11.1454294,-0.053272631
64,0.48,9.602865834,-2.177251383,-11.45678103,-0.058081007
65,0.4875,8.836270456,-2.153685047,-11.76074785,-0.062567883
66,0.495,8.033850506,-2.118451845,-12.05253611,-0.066662497
67,0.5025,7.198772769,-2.071690827,-12.32754414,-0.070300275
68,0.51,6.334332915,-2.013586537,-12.58143491,-0.073423847
69,0.5175,5.443942494,-1.944368287,-12.8102044,-0.075983953
70,0.525,4.53111547,-1.864309249,-13.01024477,-0.077940218
71,0.5325,3.599454353,-1.77372538,-13.17840128,-0.079261791
72,0.54,2.652635985,-1.672974173,-13.312022,-0.079927829
73,0.5475,1.694397026,-1.562453247,-13.40899964,-0.079927829
74,0.555,0.728519206,-1.442598777,-13.46780482,-0.079261791
75,0.5625,-0.241185595,-1.313883774,-13.48751013,-0.077940218
76,0.57,-1.210890397,-1.176816218,-13.46780482,-0.075983953
77,0.5775,-2.176768217,-1.031937051,-13.40899964,-0.073423847
78,0.585,-3.135007176,-0.879818046,-13.312022,-0.070300275
79,0.5925,-4.081825544,-0.721059547,-13.17840128,-0.066662497
80,0.6,-5.013486661,-0.556288101,-13.01024477,-0.062567883
81,0.6075,-5.926313685,-0.386153985,-12.8102044,-0.058081007
82,0.615,-6.816704106,-0.211328642,-12.58143491,-0.053272631
83,0.6225,-7.68114396,-0.032502026,-12.32754414,-0.048218585
84,0.63,-8.516221697,0.149620114,-12.05253611,-0.042998574
85,0.6375,-9.318641647,0.334319027,-11.76074785,-0.037694922
86,0.645,-10.08523703,0.520865789,-11.45678103,-0.032391269
87,0.6525,-10.81298243,0.708524187,-11.1454294,-0.027171259
88,0.66,-11.49900578,0.896553618,-10.83160315,-0.022117213
89,0.6675,-12.14059966,1.084212015,-10.52025152,-0.017308836
90,0.675,-12.73523199,1.270758778,-10.21628471,-0.012821961
91,0.6825,-13.28055602,1.455457691,-9.924496444,-0.008727346
92,0.69,-13.77441962,1.637579831,-9.649488409,-0.005089568
93,0.6975,-14.21487373,1.816406446,-9.395597644,-0.001965996
94,0.705,-14.60018007,1.99123179,-9.166828157,0.00059411
95,0.7125,-14.92881802,2.161365905,-8.96678778,0.002550375
96,0.72,-15.19949059,2.326137352,-8.798631269,0.003871947
97,0.7275,-15.41112957,2.484895851,-8.665010553,0.004537986
98,0.735,-15.56289972,2.637014856,-8.56803291,0.004537986
99,0.7425,-15.65420205,2.781894022,-8.509227736,0.003871947
# 100,0.75,-15.68467625,2.918961578,-8.489522423,0.002550375
