Frame,20230915_CodeDev_KNHS_34A:T1,20230915_CodeDev_KNHS_34A:T10,20230915_CodeDev_KNHS_34A:Sternum,20230915_CodeDev_KNHS_34A:Rnip,20230915_CodeDev_KNHS_34A:Lnip
Frame,T1X,T1Y,T1Z,T10X,T10Y,T10Z,SternumX,SternumY,SternumZ,RnipX,RnipY,RnipZ,LnipX,LnipY,LnipZ
1,866.8571,252.7277,1446.747,847.582,251.2222,1181.883,988.3678,255.7251,1396.073,1047.603,161.3252,1221.252,1045.086,361.4254,1227.946
2,866.8643,252.7273,1446.75,847.561,251.2033,1181.883,988.4052,255.749,1396.031,1047.63,161.3575,1221.215,1045.066,361.4407,1227.917
3,866.8951,252.692,1446.751,847.5699,251.196,1181.84,988.4157,255.7692,1396.029,1047.622,161.3949,1221.202,1045.022,361.4643,1227.878
4,866.9308,252.6784,1446.741,847.5753,251.1852,1181.848,988.4305,255.789,1396.033,1047.602,161.431,1221.183,1044.971,361.4977,1227.872
5,866.9626,252.7159,1446.733,847.5901,251.1677,1181.818,988.4753,255.8555,1396.029,1047.622,161.5095,1221.154,1044.939,361.5723,1227.84
6,866.9687,252.7088,1446.739,847.5814,251.1369,1181.807,988.5322,255.9137,1396.016,1047.649,161.5759,1221.111,1044.912,361.6204,1227.818
7,866.9935,252.7236,1446.763,847.5673,251.1432,1181.813,988.5751,255.9851,1395.996,1047.697,161.6357,1221.099,1044.894,361.6809,1227.795
8,867.0272,252.7544,1446.79,847.5484,251.1313,1181.855,988.5948,256.0386,1395.998,1047.725,161.6735,1221.082,1044.874,361.707,1227.784
9,867.0321,252.7668,1446.805,847.5241,251.1507,1181.886,988.6205,256.0166,1396.01,1047.723,161.701,1221.059,1044.848,361.6986,1227.776
10,867.0817,252.7688,1446.837,847.524,251.1257,1181.938,988.6119,256.0226,1396.026,1047.724,161.686,1221.059,1044.79,361.6878,1227.769
11,867.1181,252.7818,1446.863,847.5336,251.1111,1182.024,988.6342,256.0356,1396.023,1047.742,161.6771,1221.036,1044.751,361.6809,1227.735
12,867.1227,252.7608,1446.898,847.5017,251.1275,1182.075,988.6679,256.0217,1396.018,1047.754,161.6579,1221.013,1044.714,361.6684,1227.72
13,867.1122,252.7553,1446.96,847.4952,251.1404,1182.131,988.6534,256.0026,1396.01,1047.761,161.6253,1221.009,1044.666,361.6261,1227.697
14,867.1053,252.7364,1447.001,847.505,251.1337,1182.186,988.6658,255.9637,1396.025,1047.755,161.5897,1220.998,1044.583,361.5886,1227.676
15,867.1461,252.7393,1446.984,847.4791,251.1342,1182.204,988.6327,255.9813,1395.999,1047.747,161.5949,1220.978,1044.557,361.6054,1227.65
16,867.1534,252.7214,1446.994,847.4512,251.1421,1182.21,988.6434,255.9933,1395.991,1047.763,161.6296,1220.949,1044.519,361.6354,1227.627
17,867.1299,252.7051,1447.021,847.441,251.1281,1182.207,988.6929,256.0525,1396.008,1047.793,161.6954,1220.947,1044.512,361.6872,1227.613
18,867.1798,252.7344,1447.007,847.4539,251.1542,1182.181,988.7092,256.1182,1396.017,1047.832,161.7459,1220.951,1044.507,361.7324,1227.62
19,867.1791,252.7494,1447.001,847.4634,251.1305,1182.165,988.7137,256.1519,1396.029,1047.847,161.7994,1220.953,1044.502,361.8054,1227.616
20,867.1852,252.7537,1446.986,847.4634,251.1594,1182.115,988.7215,256.212,1396.026,1047.848,161.841,1220.964,1044.492,361.8472,1227.623
21,867.2086,252.7743,1446.991,847.4478,251.125,1182.12,988.7481,256.2559,1396.039,1047.862,161.9005,1220.978,1044.472,361.8936,1227.624
22,867.2083,252.7538,1447.011,847.4631,251.1158,1182.122,988.7866,256.2933,1396.073,1047.89,161.958,1220.985,1044.464,361.9137,1227.64
23,867.225,252.7821,1447.013,847.4332,251.0822,1182.165,988.846,256.31,1396.116,1047.9,161.9769,1221.008,1044.449,361.9439,1227.652
24,867.2414,252.7817,1447.039,847.4102,251.0788,1182.222,988.8209,256.3103,1396.11,1047.899,161.9771,1221.02,1044.437,361.9304,1227.654
25,867.2646,252.7651,1447.065,847.4068,251.0839,1182.281,988.7728,256.3102,1396.066,1047.907,161.9558,1221.026,1044.389,361.9313,1227.654
26,867.2715,252.7695,1447.081,847.3828,251.0753,1182.334,988.8017,256.2871,1396.105,1047.904,161.9359,1221.043,1044.355,361.8974,1227.667
27,867.3015,252.7861,1447.104,847.3883,251.0579,1182.376,988.7771,256.2871,1396.094,1047.89,161.9346,1221.042,1044.323,361.9037,1227.661
28,867.3225,252.7961,1447.117,847.399,251.0882,1182.418,988.7748,256.2851,1396.081,1047.894,161.9126,1221.02,1044.303,361.9018,1227.646
29,867.3415,252.8164,1447.121,847.3978,251.1066,1182.428,988.8293,256.2792,1396.094,1047.902,161.9277,1221.016,1044.271,361.9042,1227.63
30,867.3012,252.8064,1447.126,847.3663,251.0884,1182.427,988.8312,256.2877,1396.094,1047.89,161.9392,1221.002,1044.249,361.917,1227.608
31,867.3134,252.8237,1447.114,847.3378,251.0925,1182.417,988.888,256.2978,1396.117,1047.893,161.9653,1220.989,1044.237,361.9451,1227.59
32,867.317,252.8214,1447.095,847.3266,251.0716,1182.365,988.8068,256.3728,1396.047,1047.907,161.996,1220.982,1044.203,361.987,1227.574
33,867.3188,252.8394,1447.068,847.2992,251.0789,1182.347,988.9126,256.4,1396.113,1047.911,162.0656,1220.965,1044.197,362.0406,1227.563
34,867.3375,252.8405,1447.049,847.264,251.0726,1182.31,988.8916,256.4454,1396.093,1047.92,162.0966,1220.958,1043.951,362.0113,1227.55
35,867.3385,252.8746,1447.046,847.2419,251.0513,1182.298,988.9218,256.4865,1396.112,1047.912,162.1643,1220.946,1044.144,362.131,1227.532
36,867.3516,252.8729,1447.052,847.2267,251.0402,1182.295,988.9457,256.5223,1396.123,1047.93,162.2088,1220.944,1044.141,362.17,1227.52
37,867.351,252.8822,1447.073,847.2149,251.0322,1182.308,988.9602,256.559,1396.124,1047.937,162.2386,1220.943,1044.12,362.2074,1227.501
38,867.3478,252.8845,1447.103,847.2085,251.0194,1182.348,988.959,256.5706,1396.143,1047.94,162.2518,1220.939,1044.107,362.2291,1227.486
39,867.3483,252.8873,1447.116,847.1813,251.0204,1182.392,988.9573,256.5712,1396.118,1047.939,162.2646,1220.91,1044.099,362.2411,1227.462
40,867.3556,252.8833,1447.155,847.182,251.0153,1182.421,988.8809,256.5999,1396.071,1047.945,162.265,1220.899,1044.081,362.2349,1227.435
41,867.3795,252.8843,1447.172,847.1838,251.0181,1182.495,988.9493,256.5657,1396.104,1047.959,162.2668,1220.886,1043.837,362.1494,1227.417
