Index, u_t(us), y_t(us), u(rad), Theta(rad), Omega(rad/s), Omega_ref(rad/s)
0, 26380455, 26380983, 1.57080722, 1.34374714, -0.01587677, 0.40385768
1, 26381455, 26381987, 1.57082939, 1.34374714, -0.01587677, 0.28846979
2, 26382455, 26382983, 1.57086372, 1.34374714, -0.01587677, 0.63463354
3, 26383455, 26383985, 1.57090974, 1.34412956, -0.01587677, 2.82700396
4, 26384455, 26384985, 1.57096767, 1.34451103, 0.04762268, 2.82700396
5, 26385455, 26385984, 1.57103670, 1.34527397, 0.11111450, 2.71161604
6, 26386455, 26386982, 1.57111704, 1.34603691, 0.20635223, 2.94239187
7, 26387455, 26387988, 1.57120883, 1.34718132, 0.30158997, 3.17316747
8, 26388455, 26388982, 1.57131147, 1.34832573, 0.46031952, 3.51933122
9, 26389455, 26389980, 1.57142413, 1.35023308, 0.65079498, 3.05777979
10, 26390455, 26390979, 1.57154715, 1.35214043, 0.87301636, 3.05777979
11, 26391455, 26391979, 1.57168007, 1.35404778, 1.12698364, 3.17316747
12, 26392455, 26392981, 1.57182252, 1.35671806, 1.34920502, 2.94239187
13, 26393455, 26393987, 1.57197475, 1.35938835, 1.60317230, 2.48084021
14, 26394455, 26394979, 1.57213724, 1.36205864, 1.85713959, 2.13467646
15, 26395455, 26395988, 1.57230949, 1.36511040, 2.07936859, 2.01928854
16, 26396455, 26396980, 1.57249093, 1.36816216, 2.33333588, 2.01928854
17, 26397455, 26397986, 1.57268095, 1.37159538, 2.55555725, 2.01928854
18, 26398455, 26398976, 1.57287896, 1.37502861, 2.74603271, 2.13467646
19, 26399455, 26399976, 1.57308400, 1.37846184, 2.90476227, 1.67312467
20, 26400455, 26400976, 1.57329535, 1.38189507, 3.15872955, 1.32696104
21, 26401455, 26401975, 1.57351267, 1.38570976, 3.25396729, 1.67312467
22, 26402455, 26402977, 1.57373571, 1.38952446, 3.38095093, 1.44234896
23, 26403455, 26403977, 1.57396400, 1.39372063, 3.50793457, 0.75002146
24, 26404455, 26404983, 1.57419550, 1.39753532, 3.60317230, 0.75002146
25, 26405455, 26405977, 1.57442832, 1.40173149, 3.69841003, 0.75002146
26, 26406455, 26406979, 1.57466257, 1.40554619, 3.79364777, 0.40385768
27, 26407455, 26407984, 1.57489717, 1.40974331, 3.85713959, 0.51924562
28, 26408455, 26408980, 1.57513118, 1.41393948, 3.82539368, 0.51924562
29, 26409455, 26409982, 1.57536411, 1.41813564, 3.95237732, 0.75002146
30, 26410455, 26410986, 1.57559526, 1.42195034, 4.01587677, 0.17308187
31, 26411455, 26411974, 1.57582295, 1.42614651, 4.01587677, 0.28846979
32, 26412455, 26412978, 1.57604706, 1.43034267, 4.07936859, 0.17308187
33, 26413455, 26413981, 1.57626736, 1.43415737, 4.07936859, 0.17308187
34, 26414455, 26414983, 1.57648468, 1.43835354, 4.07936859, -0.05769395
35, 26415455, 26415981, 1.57669890, 1.44254971, 4.07936859, 0.05769395
36, 26416455, 26416985, 1.57690978, 1.44636440, 4.07936859, 0.17308187
37, 26417455, 26417987, 1.57711709, 1.45017910, 4.01587677, 0.17308187
38, 26418455, 26418982, 1.57732022, 1.45399380, 3.98412323, 0.28846979
39, 26419455, 26419982, 1.57751930, 1.45780849, 3.95237732, -0.05769395
40, 26420455, 26420980, 1.57771611, 1.46162319, 3.92063141, -0.05769395
41, 26421455, 26421992, 1.57791114, 1.46543789, 3.85713959, -0.17308187
42, 26422455, 26422996, 1.57810521, 1.46887207, 3.82539368, -0.05769395
43, 26423455, 26423981, 1.57829857, 1.47230530, 3.76190186, -0.28846979
44, 26424455, 26424991, 1.57849169, 1.47612000, 3.73015594, -0.17308187
45, 26425455, 26425985, 1.57868516, 1.47955322, 3.69841003, 0.05769395
46, 26426455, 26426991, 1.57888019, 1.48298645, 3.66666412, -0.05769395
47, 26427455, 26427987, 1.57907772, 1.48641968, 3.60317230, -0.28846979
48, 26428455, 26428983, 1.57927895, 1.49023438, 3.53968048, -0.28846979
49, 26429455, 26429986, 1.57948613, 1.49328613, 3.50793457, -0.17308187
50, 26430455, 26430990, 1.57970285, 1.49633789, 3.41269684, -0.17308187
51, 26431455, 26431978, 1.57992995, 1.49977112, 3.38095093, -0.28846979
52, 26432455, 26432986, 1.58016896, 1.50282288, 3.31745911, -0.17308187
53, 26433455, 26433984, 1.58042288, 1.50587463, 3.28571320, -0.28846979
54, 26434455, 26434976, 1.58069456, 1.50892639, 3.22222137, -0.28846979
55, 26435455, 26435987, 1.58098662, 1.51197815, 3.15872955, -0.28846979
56, 26436455, 26436981, 1.58130169, 1.51464844, 3.12698364, -0.05769395
57, 26437455, 26437985, 1.58164382, 1.51770020, 3.03174591, -0.40385768
58, 26438455, 26438991, 1.58201683, 1.52037048, 3.03174591, -0.40385768
59, 26439455, 26439987, 1.58242500, 1.52304077, 2.96825409, -0.51924562
60, 26440455, 26440988, 1.58287156, 1.52571106, 2.87301636, -0.51924562
61, 26441455, 26441982, 1.58336043, 1.52838135, 2.80952454, -0.28846979
62, 26442455, 26442988, 1.58389580, 1.53067017, 2.74603271, -0.28846979
63, 26443455, 26443986, 1.58448195, 1.53257847, 2.65079498, -0.51924562
64, 26444455, 26444980, 1.58512235, 1.53486729, 2.58730316, -0.40385768
65, 26445455, 26445982, 1.58582067, 1.53715611, 2.49206543, -0.51924562
66, 26446455, 26446983, 1.58658040, 1.53906345, 2.36508179, -0.86540931
67, 26447455, 26447987, 1.58740413, 1.54097080, 2.26984406, -0.40385768
68, 26448455, 26448983, 1.58829749, 1.54287815, 2.20635223, -0.40385768
69, 26449455, 26449987, 1.58926344, 1.54440403, 2.11111450, -0.40385768
70, 26450455, 26450989, 1.59030294, 1.54631138, 2.01587677, -0.40385768
71, 26451455, 26451987, 1.59141767, 1.54783726, 1.95237732, -0.28846979
72, 26452455, 26452988, 1.59260798, 1.54974461, 1.85713959, -0.51924562
73, 26453455, 26453986, 1.59387255, 1.55088902, 1.79364777, -0.17308187
74, 26454455, 26454984, 1.59520876, 1.55279636, 1.73015594, -0.40385768
75, 26455455, 26455984, 1.59661424, 1.55394077, 1.63491821, -0.40385768
76, 26456455, 26456982, 1.59808493, 1.55508518, 1.57142639, -0.28846979
77, 26457455, 26457987, 1.59961545, 1.55661106, 1.47618866, -0.17308187
78, 26458455, 26458987, 1.60119903, 1.55775547, 1.44444275, -0.17308187
79, 26459455, 26459985, 1.60282886, 1.55889988, 1.34920502, -0.17308187
80, 26460455, 26460985, 1.60449815, 1.56004429, 1.31745911, -0.28846979
81, 26461455, 26461987, 1.60620058, 1.56118870, 1.22222137, -0.17308187
82, 26462455, 26462989, 1.60792983, 1.56157017, 1.19047546, -0.17308187
83, 26463455, 26463986, 1.60967827, 1.56271458, 1.12698364, -0.05769395
84, 26464455, 26464984, 1.61144102, 1.56347752, 1.06349182, -0.17308187
85, 26465455, 26465990, 1.61321509, 1.56424046, 1.00000000, -0.05769395
86, 26466455, 26466984, 1.61499596, 1.56462193, 0.90476227, -0.17308187
87, 26467455, 26467982, 1.61678004, 1.56538486, 0.84127045, -0.17308187
88, 26468455, 26468983, 1.61856508, 1.56576633, 0.77777863, 0.05769395
89, 26469455, 26469985, 1.62035048, 1.56614780, 0.71428680, -0.17308187
90, 26470455, 26470985, 1.62213576, 1.56691074, 0.65079498, 0.17308187
91, 26471455, 26471983, 1.62392008, 1.56729221, 0.58730316, 0.05769395
92, 26472455, 26472995, 1.62570274, 1.56767368, 0.55555725, 0.17308187
93, 26473455, 26473985, 1.62748289, 1.56805515, 0.49206543, 0.40385768
94, 26474455, 26474986, 1.62926030, 1.56843662, 0.46031952, 0.17308187
95, 26475455, 26475980, 1.63103509, 1.56881809, 0.42857361, 0.63463354
96, 26476455, 26476980, 1.63280761, 1.56919956, 0.39682770, 0.28846979
97, 26477455, 26477980, 1.63457596, 1.56958103, 0.36508179, 0.28846979
98, 26478455, 26478978, 1.63633895, 1.56996250, 0.36508179, 0.40385768
