Index, u_t(us), y_t(us), u(rad), Theta(rad), Omega(rad/s), Thetad(rad/s)
0, 27039749, 27040279, 0.00001083, -0.27714157, -0.01587677, 0.00000000
1, 27040749, 27041277, 0.00003307, -0.27714157, -0.01587677, 0.00000000
2, 27041749, 27042278, 0.00006734, -0.27714157, -0.01587677, -10.00000000
3, 27042749, 27043278, 0.00011346, -0.27714157, -0.01587677, -6.14130449
4, 27043749, 27044278, 0.00017130, -0.27714157, -0.01587677, -3.77156210
5, 27044749, 27045278, 0.00024042, -0.27714157, -0.01587677, -2.31623101
6, 27045749, 27046278, 0.00032070, -0.27714157, -0.01587677, -1.42246795
7, 27046749, 27047277, 0.00041249, -0.27714157, -0.01587677, -0.87358087
8, 27047749, 27048279, 0.00051515, -0.27714157, -0.01587677, -0.53649259
9, 27048749, 27049277, 0.00062783, -0.27714157, -0.01587677, -0.32947645
10, 27049749, 27050277, 0.00075080, -0.27714157, -0.01587677, -0.20234151
11, 27050749, 27051277, 0.00088377, -0.27714157, -0.01587677, -0.12426408
12, 27051749, 27052276, 0.00102619, -0.27714157, -0.01587677, -0.07631436
13, 27052749, 27053278, 0.00117848, -0.27714157, -0.01587677, -0.04686697
14, 27053749, 27054276, 0.00134092, -0.27714157, -0.01587677, -0.02878243
15, 27054749, 27055278, 0.00151316, -0.27714157, -0.01587677, -0.01767617
16, 27055749, 27056276, 0.00169463, -0.27714157, -0.01587677, -0.01085547
17, 27056749, 27057276, 0.00188464, -0.27714157, -0.01587677, -0.00666668
18, 27057749, 27058273, 0.00208259, -0.27714157, -0.01587677, -0.00409421
19, 27058749, 27059281, 0.00228762, -0.27714157, -0.01587677, -0.00251438
20, 27059749, 27060279, 0.00249905, -0.27714157, -0.01587677, -0.00154416
21, 27060749, 27061275, 0.00271636, -0.27714157, -0.01587677, -0.00094831
22, 27061749, 27062281, 0.00293933, -0.27714157, -0.01587677, -0.00058239
23, 27062749, 27063277, 0.00316765, -0.27714157, -0.01587677, -0.00035766
24, 27063749, 27064280, 0.00339912, -0.27714157, -0.01587677, -0.00021965
25, 27064749, 27065276, 0.00363205, -0.27714157, -0.01587677, -0.00013489
26, 27065749, 27066272, 0.00386629, -0.27714157, -0.01587677, -0.00008284
27, 27066749, 27067278, 0.00410083, -0.27714157, -0.01587677, -0.00005088
28, 27067749, 27068278, 0.00433482, -0.27714157, -0.01587677, -0.00003124
29, 27068749, 27069279, 0.00456778, -0.27714157, -0.01587677, -0.00001919
30, 27069749, 27070285, 0.00479889, -0.27714157, -0.01587677, -0.00001178
31, 27070749, 27071277, 0.00502658, -0.27714157, -0.01587677, -0.00000724
32, 27071749, 27072273, 0.00525075, -0.27714157, -0.01587677, -0.00000444
33, 27072749, 27073277, 0.00547101, -0.27714157, -0.01587677, -0.00000273
34, 27073749, 27074278, 0.00568835, -0.27714157, -0.01587677, -0.00000168
35, 27074749, 27075276, 0.00590253, -0.27714157, -0.01587677, -0.00000103
36, 27075749, 27076276, 0.00611343, -0.27714157, -0.01587677, -0.00000063
37, 27076749, 27077276, 0.00632077, -0.27714157, -0.01587677, -0.00000039
38, 27077749, 27078276, 0.00652394, -0.27714157, -0.01587677, -0.00000024
39, 27078749, 27079276, 0.00672296, -0.27714157, -0.01587677, -0.00000015
40, 27079749, 27080282, 0.00691980, -0.27714157, -0.01587677, -0.00000009
41, 27080749, 27081275, 0.00711486, -0.27714157, -0.01587677, -0.00000006
42, 27081749, 27082281, 0.00730887, -0.27714157, -0.01587677, -0.00000003
43, 27082749, 27083275, 0.00750219, -0.27714157, -0.01587677, -0.00000002
44, 27083749, 27084277, 0.00769531, -0.27714157, -0.01587677, -0.00000001
45, 27084749, 27085281, 0.00788881, -0.27714157, -0.01587677, -0.00000001
46, 27085749, 27086282, 0.00808385, -0.27714157, -0.01587677, -0.00000000
47, 27086749, 27087280, 0.00828145, -0.27714157, -0.01587677, -0.00000000
48, 27087749, 27088276, 0.00848259, -0.27714157, -0.01587677, -0.00000000
49, 27088749, 27089282, 0.00868985, -0.27714157, -0.01587677, -0.00000000
50, 27089749, 27090280, 0.00890651, -0.27714157, -0.01587677, -0.00000000
51, 27090749, 27091276, 0.00913365, -0.27714157, -0.01587677, -0.00000000
52, 27091749, 27092281, 0.00937261, -0.27714157, -0.01587677, -0.00000000
53, 27092749, 27093273, 0.00962651, -0.27714157, -0.01587677, -0.00000000
54, 27093749, 27094281, 0.00989818, -0.27714157, -0.01587677, -0.00000000
55, 27094749, 27095279, 0.01019028, -0.27714157, -0.01587677, -0.00000000
56, 27095749, 27096279, 0.01050542, -0.27714157, -0.01587677, -0.00000000
57, 27096749, 27097276, 0.01084749, -0.27714157, -0.01587677, -0.00000000
58, 27097749, 27098280, 0.01122053, -0.27714157, -0.01587677, -0.00000000
59, 27098749, 27099278, 0.01162873, -0.27714157, -0.01587677, -0.00000000
60, 27099749, 27100278, 0.01207521, -0.27714157, -0.01587677, -0.00000000
61, 27100749, 27101282, 0.01256411, -0.27714157, -0.01587677, -0.00000000
62, 27101749, 27102278, 0.01309945, -0.27714157, -0.01587677, -0.00000000
63, 27102749, 27103281, 0.01368558, -0.27714157, -0.01587677, -0.00000000
64, 27103749, 27104281, 0.01432606, -0.27714157, -0.01587677, -0.00000000
65, 27104749, 27105279, 0.01502429, -0.27714157, -0.01587677, -0.00000000
66, 27105749, 27106277, 0.01578406, -0.27714157, -0.01587677, -0.00000000
67, 27106749, 27107281, 0.01660781, -0.27714157, -0.01587677, -0.00000000
68, 27107749, 27108277, 0.01750111, -0.27714157, -0.01587677, -0.00000000
69, 27108749, 27109280, 0.01846707, -0.27714157, -0.01587677, -0.00000000
70, 27109749, 27110282, 0.01950662, -0.27714157, -0.01587677, -0.00000000
71, 27110749, 27111278, 0.02062138, -0.27714157, -0.01587677, -0.00000000
72, 27111749, 27112274, 0.02181171, -0.27714157, -0.01587677, -0.00000000
73, 27112749, 27113278, 0.02307617, -0.27714157, -0.01587677, -0.00000000
74, 27113749, 27114279, 0.02441250, -0.27714157, -0.01587677, -0.00000000
75, 27114749, 27115279, 0.02581796, -0.27714157, -0.01587677, -0.00000000
76, 27115749, 27116281, 0.02728863, -0.27714157, -0.01587677, -0.00000000
77, 27116749, 27117277, 0.02881918, -0.27714157, -0.01587677, -0.00000000
78, 27117749, 27118279, 0.03040276, -0.27714157, -0.01587677, -0.00000000
79, 27118749, 27119280, 0.03203255, -0.27714157, -0.01587677, -0.00000000
80, 27119749, 27120278, 0.03370178, -0.27714157, -0.01587677, -0.00000000
81, 27120749, 27121280, 0.03540427, -0.27714157, -0.01587677, -0.00000000
82, 27121749, 27122278, 0.03713353, -0.27714157, -0.01587677, -0.00000000
